item_id,item_model,a,cb1,cb2,cb3,cb4
EDANX01,GR,3.602154424,0.341590477,1.089526072,1.960101137,2.698703954
EDANX02,GR,3.450410495,0.491153717,1.330039125,2.155174107,2.880245391
EDANX03,GR,3.336557321,0.621315126,1.243248269,2.061498089,2.758620787
EDANX05,GR,3.355281585,-0.189661494,0.598082678,1.574890227,2.445823479
EDANX07,GR,3.550926526,0.539419502,1.046026173,1.865002318,2.384702738
EDANX08,GR,2.848238967,0.368046614,1.064124599,1.853261723,2.544713117
EDANX12,GR,2.734496349,-0.568743416,0.472129973,1.671720286,2.969533611
EDANX13,GR,1.429989033,0.320318111,1.385259719,2.740601959,4.65733368
EDANX16,GR,1.802625004,-0.038267518,0.878662997,2.112579626,3.045698233
EDANX18,GR,2.98577135,0.566154229,1.30206069,2.149592349,3.060771963
EDANX20,GR,1.723516747,0.010386304,1.168486548,2.202962308,3.108540265
EDANX21,GR,2.232087057,-0.300391224,0.737308224,1.859788698,2.924760155
EDANX24,GR,1.830022934,0.331869662,0.982099629,1.88726965,3.023500549
EDANX26,GR,1.950650211,-0.026536872,0.879210229,2.01450586,3.240671706
EDANX27,GR,2.86022933,0.436142065,1.126857185,2.029539791,2.777843524
EDANX30,GR,3.031843291,-0.515403306,0.315552225,1.351649779,2.299682921
EDANX33,GR,2.581908171,1.147045038,1.816656936,2.716464092,3.589088785
EDANX37,GR,1.709174544,-0.039580872,0.883627876,2.001631004,3.104371359
EDANX40,GR,3.883199296,0.485880399,1.263177431,2.111117027,2.898512961
EDANX41,GR,3.659513187,0.36439509,1.033807995,1.780489934,2.62115633
EDANX44,GR,1.270496093,0.57192503,1.458976726,2.677899222,3.972339613
EDANX46,GR,3.398137335,-0.216635014,0.632130403,1.644448277,2.731239332
EDANX47,GR,2.536509619,-0.238962044,0.677809277,1.795603462,2.900681986
EDANX48,GR,3.043341175,-0.331563499,0.555866284,1.455912232,2.339869585
EDANX49,GR,1.515700532,-0.829842308,0.086909114,1.167730374,2.379727909
EDANX51,GR,2.411661091,-0.461824405,0.398353269,1.363589367,2.402821063
EDANX53,GR,3.656106034,-0.231778391,0.595227126,1.563458071,2.499054143
EDANX54,GR,3.350326641,-0.509403663,0.310666944,1.250222978,2.296618427
EDANX55,GR,3.127334023,0.074362597,0.940888151,1.847719764,2.775704348
