item_order,instrument,item_id,item_model,ncat
1,1,EDANX01,GR,5
2,1,EDANX02,GR,5
3,1,EDANX03,GR,5
4,1,EDANX05,GR,5
5,1,EDANX07,GR,5
6,1,EDANX08,GR,5
7,1,EDANX12,GR,5
8,1,EDANX13,GR,5
9,1,EDANX16,GR,5
10,1,EDANX18,GR,5
11,1,EDANX20,GR,5
12,1,EDANX21,GR,5
13,1,EDANX24,GR,5
14,1,EDANX26,GR,5
15,1,EDANX27,GR,5
16,1,EDANX30,GR,5
17,1,EDANX33,GR,5
18,1,EDANX37,GR,5
19,1,EDANX40,GR,5
20,1,EDANX41,GR,5
21,1,EDANX44,GR,5
22,1,EDANX46,GR,5
23,1,EDANX47,GR,5
24,1,EDANX48,GR,5
25,1,EDANX49,GR,5
26,1,EDANX51,GR,5
27,1,EDANX53,GR,5
28,1,EDANX54,GR,5
29,1,EDANX55,GR,5
30,2,MASQ1,GR,5
31,2,MASQ2,GR,5
32,2,MASQ3,GR,5
33,2,MASQ4,GR,5
34,2,MASQ5,GR,5
35,2,MASQ6,GR,5
36,2,MASQ7,GR,5
37,2,MASQ8,GR,5
38,2,MASQ9,GR,5
39,2,MASQ10,GR,5
40,2,MASQ11,GR,5
