instrument,item_id,item_model,ncat
1,EDDEP04,GR,5
1,EDDEP05,GR,5
1,EDDEP06,GR,5
1,EDDEP07,GR,5
1,EDDEP09,GR,5
1,EDDEP14,GR,5
1,EDDEP17,GR,5
1,EDDEP19,GR,5
1,EDDEP21,GR,5
1,EDDEP22,GR,5
1,EDDEP23,GR,5
1,EDDEP26,GR,5
1,EDDEP27,GR,5
1,EDDEP28,GR,5
1,EDDEP29,GR,5
1,EDDEP30,GR,5
1,EDDEP31,GR,5
1,EDDEP35,GR,5
1,EDDEP36,GR,5
1,EDDEP39,GR,5
1,EDDEP41,GR,5
1,EDDEP42,GR,5
1,EDDEP44,GR,5
1,EDDEP45,GR,5
1,EDDEP46,GR,5
1,EDDEP48,GR,5
1,EDDEP50,GR,5
1,EDDEP54,GR,5
2,CESD1,GR,4
2,CESD2,GR,4
2,CESD3,GR,4
2,CESD4,GR,4
2,CESD5,GR,4
2,CESD6,GR,4
2,CESD7,GR,4
2,CESD8,GR,4
2,CESD9,GR,4
2,CESD10,GR,4
2,CESD11,GR,4
2,CESD12,GR,4
2,CESD13,GR,4
2,CESD14,GR,4
2,CESD15,GR,4
2,CESD16,GR,4
2,CESD17,GR,4
2,CESD18,GR,4
2,CESD19,GR,4
2,CESD20,GR,4
